Data_type,Sensitivity,Department,Purpose,Emergency,Access_policy
Lab Results,Public,Cardiology,Training,Yes,This data can be accessed by users having roles: Admin and belonging to the Cardiology department with clearance level 2.
Imaging Data,Highly Confidential,Cardiology,Billing,Yes,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Cardiology department with clearance level 1.
Lab Results,Public,Oncology,Training,Yes,This data can be accessed by users having roles: Researcher and belonging to the Oncology department with clearance level 2.
Lab Results,Confidential,Radiology,Treatment,No,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the Radiology department with clearance level 1.
Prescriptions,Restricted,General Medicine,Treatment,Yes,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the General Medicine department with clearance level 1.
Research Data,Highly Confidential,Neurology,Treatment,No,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Neurology department with clearance level 2.
Medical Records,Restricted,Neurology,Billing,No,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Neurology department with clearance level 2.
Medical Records,Confidential,Cardiology,Research,Yes,This data can be accessed by users having roles: (Researcher or Admin) and belonging to the Cardiology department with clearance level 3.
Medical Records,Confidential,General Medicine,Treatment,No,This data can be accessed by users having roles: (Researcher or Doctor) and belonging to the General Medicine department with clearance level 1.
Research Data,Public,Oncology,Treatment,Yes,This data can be accessed by users having roles: Admin and belonging to the Oncology department with clearance level 3.
Imaging Data,Highly Confidential,Neurology,Research,No,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the Neurology department with clearance level 1.
Research Data,Confidential,Oncology,Research,No,This data can be accessed by users having roles: Researcher and belonging to the Oncology department with clearance level 2.
Imaging Data,Highly Confidential,General Medicine,Research,Yes,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the General Medicine department with clearance level 1.
Lab Results,Confidential,Neurology,Training,Yes,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Neurology department with clearance level 1.
Medical Records,Confidential,Radiology,Training,Yes,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the Radiology department with clearance level 2.
Medical Records,Public,Oncology,Training,No,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the Oncology department with clearance level 2.
Lab Results,Restricted,Neurology,Research,Yes,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the Neurology department with clearance level 1.
Administrative Data,Highly Confidential,Neurology,Research,No,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Neurology department with clearance level 1.
Prescriptions,Confidential,Oncology,Treatment,No,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the Oncology department with clearance level 3.
Prescriptions,Confidential,Cardiology,Billing,No,This data can be accessed by users having roles: (Researcher or Doctor) and belonging to the Cardiology department with clearance level 3.
Research Data,Confidential,Neurology,Billing,Yes,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the Neurology department with clearance level 1.
Prescriptions,Highly Confidential,Oncology,Research,Yes,This data can be accessed by users having roles: (Researcher or Doctor) and belonging to the Oncology department with clearance level 3.
Administrative Data,Highly Confidential,Neurology,Research,No,This data can be accessed by users having roles: (Researcher or Doctor) and belonging to the Neurology department with clearance level 1.
Imaging Data,Confidential,Oncology,Treatment,Yes,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the Oncology department with clearance level 2.
Prescriptions,Restricted,Cardiology,Research,No,This data can be accessed by users having roles: Nurse and belonging to the Cardiology department with clearance level 1.
Lab Results,Highly Confidential,Radiology,Training,No,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the Radiology department with clearance level 3.
Research Data,Public,Oncology,Training,No,This data can be accessed by users having roles: (Researcher or Doctor) and belonging to the Oncology department with clearance level 3.
Imaging Data,Public,Radiology,Research,No,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Radiology department with clearance level 3.
Imaging Data,Confidential,Cardiology,Treatment,No,This data can be accessed by users having roles: (Researcher or Doctor) and belonging to the Cardiology department with clearance level 1.
Administrative Data,Restricted,General Medicine,Treatment,No,This data can be accessed by users having roles: (Doctor or Researcher) and belonging to the General Medicine department with clearance level 1.
Research Data,Confidential,Oncology,Research,No,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Oncology department with clearance level 3.
Research Data,Restricted,Neurology,Training,Yes,This data can be accessed by users having roles: Researcher and belonging to the Neurology department with clearance level 3.
Prescriptions,Restricted,General Medicine,Research,No,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the General Medicine department with clearance level 3.
